,provincia,energia entregada,mes,anio,fecha
98,Hato Mayor,5.51665066,1,2018,2018-01-01
99,La Altagracia,21.33410699,1,2018,2018-01-01
100,La Romana,24.31194791,1,2018,2018-01-01
101,Monte Plata,9.851059150000001,1,2018,2018-01-01
102,San Pedro de Macorís,37.10141311,1,2018,2018-01-01
103,Santo Domingo,176.68251325,1,2018,2018-01-01
104,El Seibo,4.63672464,2,2018,2018-02-01
105,Distrito Nacional,59.66880495,2,2018,2018-02-01
106,Hato Mayor,4.80368715,2,2018,2018-02-01
107,La Altagracia,17.92501174,2,2018,2018-02-01
108,La Romana,21.33425446,2,2018,2018-02-01
109,Monte Plata,8.28138347,2,2018,2018-02-01
110,San Pedro de Macorís,32.71761859,2,2018,2018-02-01
111,Santo Domingo,153.54578991,2,2018,2018-02-01
112,El Seibo,5.442591139999999,3,2018,2018-03-01
113,Distrito Nacional,70.79562054,3,2018,2018-03-01
114,Hato Mayor,5.62804236,3,2018,2018-03-01
115,La Altagracia,20.88340645,3,2018,2018-03-01
116,La Romana,25.481183079999997,3,2018,2018-03-01
117,Monte Plata,9.89394654,3,2018,2018-03-01
118,San Pedro de Macorís,41.56897081,3,2018,2018-03-01
119,Santo Domingo,183.29375894999998,3,2018,2018-03-01
120,El Seibo,5.58538321,4,2018,2018-04-01
121,Distrito Nacional,74.55871184,4,2018,2018-04-01
122,Hato Mayor,5.63421637,4,2018,2018-04-01
123,La Altagracia,22.25252724,4,2018,2018-04-01
124,La Romana,25.6076695,4,2018,2018-04-01
125,Monte Plata,10.06170742,4,2018,2018-04-01
126,San Pedro de Macorís,42.22507727,4,2018,2018-04-01
127,Santo Domingo,190.22909224,4,2018,2018-04-01
128,El Seibo,5.8957361399999995,5,2018,2018-05-01
129,Distrito Nacional,78.59735598,5,2018,2018-05-01
130,Hato Mayor,6.03753173,5,2018,2018-05-01
131,La Altagracia,23.45119433,5,2018,2018-05-01
132,La Romana,27.68910835,5,2018,2018-05-01
133,Monte Plata,10.35719441,5,2018,2018-05-01
134,San Pedro de Macorís,43.906750409999994,5,2018,2018-05-01
135,Santo Domingo,205.01345754,5,2018,2018-05-01
136,El Seibo,6.11659063,6,2018,2018-06-01
137,Distrito Nacional,80.11949769,6,2018,2018-06-01
138,Hato Mayor,6.0996217800000005,6,2018,2018-06-01
139,La Altagracia,24.789625870000002,6,2018,2018-06-01
140,La Romana,27.98101935,6,2018,2018-06-01
141,Monte Plata,9.352808119999999,6,2018,2018-06-01
142,San Pedro de Macorís,45.82292159000001,6,2018,2018-06-01
143,Santo Domingo,213.54991265,6,2018,2018-06-01
144,El Seibo,6.41160958,7,2018,2018-07-01
145,Distrito Nacional,82.27469045999999,7,2018,2018-07-01
146,Hato Mayor,6.59240121,7,2018,2018-07-01
147,La Altagracia,26.413693780000003,7,2018,2018-07-01
148,La Romana,30.01000224,7,2018,2018-07-01
149,Monte Plata,9.10404188,7,2018,2018-07-01
150,San Pedro de Macorís,47.49163746,7,2018,2018-07-01
151,Santo Domingo,222.30264206,7,2018,2018-07-01
152,El Seibo,6.6488247099999995,8,2018,2018-08-01
153,Distrito Nacional,81.31886632,8,2018,2018-08-01
154,Hato Mayor,6.51754227,8,2018,2018-08-01
155,La Altagracia,26.78339001,8,2018,2018-08-01
156,La Romana,29.819660170000002,8,2018,2018-08-01
157,Monte Plata,9.06904091,8,2018,2018-08-01
158,San Pedro de Macorís,47.68077086,8,2018,2018-08-01
159,Santo Domingo,216.20901986,8,2018,2018-08-01
160,El Seibo,6.27611499,9,2018,2018-09-01
161,Distrito Nacional,75.56344522,9,2018,2018-09-01
162,Hato Mayor,6.06398029,9,2018,2018-09-01
163,La Altagracia,24.70542798,9,2018,2018-09-01
164,La Romana,27.42015919,9,2018,2018-09-01
165,Monte Plata,8.48233174,9,2018,2018-09-01
166,San Pedro de Macorís,43.99271605,9,2018,2018-09-01
167,Santo Domingo,202.81408006,9,2018,2018-09-01
168,El Seibo,6.27611499,10,2018,2018-10-01
169,Distrito Nacional,75.56344522,10,2018,2018-10-01
170,Hato Mayor,6.06398029,10,2018,2018-10-01
171,La Altagracia,24.70542798,10,2018,2018-10-01
172,La Romana,27.42015919,10,2018,2018-10-01
173,Monte Plata,8.48233174,10,2018,2018-10-01
174,San Pedro de Macorís,43.99271605,10,2018,2018-10-01
175,Santo Domingo,202.81408006,10,2018,2018-10-01
176,El Seibo,6.082724740000001,11,2018,2018-11-01
177,Distrito Nacional,74.08582776,11,2018,2018-11-01
178,Hato Mayor,5.87661416,11,2018,2018-11-01
179,La Altagracia,23.41368166,11,2018,2018-11-01
180,La Romana,26.35141774,11,2018,2018-11-01
181,Monte Plata,8.34051657,11,2018,2018-11-01
182,San Pedro de Macorís,41.66333394,11,2018,2018-11-01
183,Santo Domingo,201.02446802,11,2018,2018-11-01
184,El Seibo,6.2764655099999995,12,2018,2018-12-01
185,Distrito Nacional,73.12477557,12,2018,2018-12-01
186,Hato Mayor,5.96917644,12,2018,2018-12-01
187,La Altagracia,23.78763975,12,2018,2018-12-01
188,La Romana,26.8541957,12,2018,2018-12-01
189,Monte Plata,8.8419399,12,2018,2018-12-01
190,San Pedro de Macorís,41.02136065,12,2018,2018-12-01
191,Santo Domingo,203.0949314,12,2018,2018-12-01
192,El Seibo,5.98982281,1,2019,2019-01-01
193,Distrito Nacional,69.1236328,1,2019,2019-01-01
194,Hato Mayor,5.749955389999999,1,2019,2019-01-01
195,La Altagracia,22.507849320000002,1,2019,2019-01-01
196,La Romana,25.5631752,1,2019,2019-01-01
197,Monte Plata,8.71879145,1,2019,2019-01-01
198,San Pedro de Macorís,41.5706741,1,2019,2019-01-01
199,Santo Domingo,195.62892196,1,2019,2019-01-01
200,El Seibo,5.29968888,2,2019,2019-02-01
201,Distrito Nacional,64.76231742,2,2019,2019-02-01
